network_name,threshold,seed_size,budget_total,0_no_block,1_no_block,2_no_block,3_no_block,0_cbh,1_cbh,2_cbh,3_cbh,0_degree,1_degree,2_degree,3_degree,0_random,1_random,2_random,3_random
astroph,2,10,93,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,2,10,187,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,2,10,375,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,2,10,563,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,2,10,750,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,2,10,938,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,2,10,1126,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,2,10,1313,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,2,10,1501,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,2,10,1689,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,2,10,1877,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,2,10,2064,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,2,10,2252,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,3,10,93,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,3,10,187,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,3,10,375,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,3,10,563,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,3,10,750,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,3,10,938,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
astroph,3,10,1126,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5,18769.7,3.7,2.8,3.5
