network_name,threshold,seed_size,budget_total,budget_1,budget_2,0_no_block,1_no_block,2_no_block,3_no_block,0_cbh,1_cbh,2_cbh,3_cbh,0_degree,1_degree,2_degree,3_degree
jazz,2,1,3,1,2,197,0,0,1,197,0,0,1,197,0,0,1
jazz,3,1,3,1,2,197,0,0,1,197,0,0,1,197,0,0,1
jazz,5,1,3,1,2,197,0,0,1,197,0,0,1,197,0,0,1
jazz,2,1,7,3,4,197,0,0,1,197,0,0,1,197,0,0,1
jazz,3,1,7,3,4,197,0,0,1,197,0,0,1,197,0,0,1
jazz,5,1,7,3,4,197,0,0,1,197,0,0,1,197,0,0,1
jazz,2,1,11,5,6,197,0,0,1,197,0,0,1,197,0,0,1
jazz,3,1,11,5,6,197,0,0,1,197,0,0,1,197,0,0,1
jazz,5,1,11,5,6,197,0,0,1,197,0,0,1,197,0,0,1
jazz,2,1,19,9,10,197,0,0,1,197,0,0,1,197,0,0,1
jazz,3,1,19,9,10,197,0,0,1,197,0,0,1,197,0,0,1
jazz,5,1,19,9,10,197,0,0,1,197,0,0,1,197,0,0,1
jazz,2,1,39,19,20,197,0,0,1,197,0,0,1,197,0,0,1
jazz,3,1,39,19,20,197,0,0,1,197,0,0,1,197,0,0,1
jazz,5,1,39,19,20,197,0,0,1,197,0,0,1,197,0,0,1
jazz,2,1,59,29,30,197,0,0,1,197,0,0,1,197,0,0,1
jazz,3,1,59,29,30,197,0,0,1,197,0,0,1,197,0,0,1
jazz,5,1,59,29,30,197,0,0,1,197,0,0,1,197,0,0,1
astroph,2,187,375,187,188,2959,0,0,15812,3170,55,14,15532,2959,0,0,15812
astroph,3,187,375,187,188,4899,0,0,13872,5072,44,29,13626,4899,0,0,13872
astroph,5,187,375,375.0,0.0,7839,68,19,10845,7906,1,10737,127,7839,68,19,10845
astroph,2,187,750,375,375,2959,0,0,15812,3778,197,113,14683,2959,0,0,15812
astroph,3,187,750,375,375,4899,0,0,13872,5518,111,50,13092,4899,0,0,13872
astroph,5,187,750,749.0,1.0,7839,68,19,10845,7910,1,10733,127,7839,68,19,10845
astroph,2,187,1126,563,563,2959,0,0,15812,3778,197,113,14683,2959,0,0,15812
astroph,3,187,1126,563,563,4899,0,0,13872,5518,111,50,13092,4899,0,0,13872
astroph,5,187,1126,1125.0,1.0,7839,68,19,10845,7910,1,10733,127,7839,68,19,10845
astroph,2,187,1877,938,939,2959,0,0,15812,3778,197,113,14683,2959,0,0,15812
astroph,3,187,1877,938,939,4899,0,0,13872,18584,57,59,71,4899,0,0,13872
astroph,5,187,1877,1874.0,3.0,7839,68,19,10845,7910,1,10733,127,7839,68,19,10845
astroph,2,187,3754,1877,1877,2959,0,0,15812,18250,391,54,76,3301,0,0,15470
astroph,3,187,3754,1877,1877,4899,0,0,13872,18584,57,59,71,4899,0,0,13872
astroph,5,187,3754,3748.0,6.0,7839,68,19,10845,7930,1,10713,127,7839,68,19,10845
astroph,2,187,5631,2815,2816,2959,0,0,15812,18584,57,59,71,3802,1,0,14968
astroph,3,187,5631,2815,2816,4899,0,0,13872,18584,57,59,71,4899,0,0,13872
astroph,5,187,5631,5622.0,9.0,7839,68,19,10845,7930,1,10713,127,7839,68,19,10845
wiki,2,70,141,70,71,2284,0,0,4782,2295,11,0,4760,2284,0,0,4782
wiki,3,70,141,70,71,2921,0,0,4145,2967,56,4,4039,2921,0,0,4145
wiki,5,70,141,70,71,3555,0,0,3511,3563,9,0,3494,3555,0,0,3511
wiki,2,70,282,141,141,2284,0,0,4782,2295,11,0,4760,2284,0,0,4782
wiki,3,70,282,141,141,2921,0,0,4145,2967,56,4,4039,2921,0,0,4145
wiki,5,70,282,141,141,3555,0,0,3511,3572,0,166,3328,3555,0,0,3511
wiki,2,70,423,211,212,2284,0,0,4782,2295,11,0,4760,2284,0,0,4782
wiki,3,70,423,211,212,2921,0,0,4145,2967,56,4,4039,2921,0,0,4145
wiki,5,70,423,211,212,3555,0,0,3511,3738,3268,0,60,3555,0,0,3511
wiki,2,70,706,353,353,2284,0,0,4782,2295,11,0,4760,2284,0,0,4782
wiki,3,70,706,353,353,2921,0,0,4145,2967,56,4,4039,2921,0,0,4145
wiki,5,70,706,353,353,3555,0,0,3511,6996,31,21,18,3555,0,0,3511
wiki,2,70,1413,706,707,2284,0,0,4782,2305,1,1471,3289,2284,0,0,4782
wiki,3,70,1413,706,707,2921,0,0,4145,6996,31,21,18,2921,0,0,4145
wiki,5,70,1413,706,707,3555,0,0,3511,6996,31,21,18,3555,0,0,3511
wiki,2,70,2119,1059,1060,2284,0,0,4782,6996,31,21,18,2284,0,0,4782
wiki,3,70,2119,1059,1060,2921,0,0,4145,6996,31,21,18,2921,0,0,4145
wiki,5,70,2119,1059,1060,3555,0,0,3511,6996,31,21,18,3555,0,0,3511
