network_name,threshold,seed_size,budget_total,0_no_block,1_no_block,2_no_block,3_no_block,0_cbh,1_cbh,2_cbh,3_cbh,0_degree,1_degree,2_degree,3_degree,0_random,1_random,2_random,3_random
fb-pages-politician,2,10,29,889.0,0.0,0.0,5019.0,910.5,1.8,531.9,4463.8,1012.3,0.0,51.7,4844.0,889.0,13.8,31.1,4974.1
fb-pages-politician,2,10,59,889.0,0.0,0.0,5019.0,932.2,496.7,3493.1,986.0,1056.7,0.0,82.0,4769.3,889.6,30.5,63.0,4924.9
fb-pages-politician,2,10,118,889.0,0.0,0.0,5019.0,3912.3,2.1,1988.6,5.0,1136.1,0.0,106.8,4665.1,891.4,63.1,130.1,4823.4
fb-pages-politician,2,10,177,889.0,0.0,0.0,5019.0,5898.0,3.4,2.9,3.7,1242.9,0.0,116.8,4548.3,895.3,124.2,190.9,4697.6
fb-pages-politician,2,10,236,889.0,0.0,0.0,5019.0,5898.0,3.4,2.9,3.7,1354.9,0.0,99.5,4453.6,902.9,189.1,242.5,4573.5
fb-pages-politician,2,10,295,889.0,0.0,0.0,5019.0,5898.0,3.4,2.9,3.7,1448.8,0.0,112.3,4346.9,912.0,244.6,308.9,4442.5
fb-pages-politician,2,10,354,889.0,0.0,0.0,5019.0,5898.0,3.4,2.9,3.7,1556.6,0.0,146.8,4204.6,925.1,295.3,352.6,4335.0
fb-pages-politician,2,10,413,889.0,0.0,0.0,5019.0,5898.0,3.4,2.9,3.7,1691.3,0.1,139.3,4077.3,939.1,345.1,422.1,4201.7
fb-pages-politician,2,10,472,889.0,0.0,0.0,5019.0,5898.0,3.4,2.9,3.7,2175.9,5.9,166.8,3559.4,953.1,390.1,474.0,4090.8
fb-pages-politician,2,10,531,889.0,0.0,0.0,5019.0,5898.0,3.4,2.9,3.7,2302.1,5.2,163.9,3436.8,970.9,431.0,530.7,3975.4
fb-pages-politician,2,10,590,889.0,0.0,0.0,5019.0,5898.0,3.4,2.9,3.7,2434.1,2.7,1219.8,2251.4,994.7,484.7,561.7,3866.9
fb-pages-politician,2,10,649,889.0,0.0,0.0,5019.0,5898.0,3.4,2.9,3.7,3294.7,6.0,1797.2,810.1,1011.0,534.2,611.4,3751.4
fb-pages-politician,2,10,708,889.0,0.0,0.0,5019.0,5898.0,3.4,2.9,3.7,4698.8,3.7,486.3,719.2,1032.8,600.0,655.9,3619.3
fb-pages-politician,3,10,29,1788.0,822.8,822.9,2474.3,5078.1,2.7,822.8,4.4,1954.6,781.6,821.1,2350.7,1800.1,823.6,836.8,2447.5
fb-pages-politician,3,10,59,1788.0,822.8,822.9,2474.3,5898.0,3.4,2.9,3.7,2074.0,758.2,794.5,2281.3,1814.6,847.5,865.2,2380.7
fb-pages-politician,3,10,118,1788.0,822.8,822.9,2474.3,5898.0,3.4,2.9,3.7,3944.3,786.3,364.9,812.5,1840.8,863.3,873.2,2330.7
fb-pages-politician,3,10,177,1788.0,822.8,822.9,2474.3,5898.0,3.4,2.9,3.7,5078.3,729.3,18.3,82.1,1878.4,898.7,885.9,2245.0
fb-pages-politician,3,10,236,1788.0,822.8,822.9,2474.3,5898.0,3.4,2.9,3.7,5187.9,625.1,18.0,77.0,1912.6,894.6,904.5,2196.3
fb-pages-politician,3,10,295,1788.0,822.8,822.9,2474.3,5898.0,3.4,2.9,3.7,5773.3,45.7,26.5,62.5,1939.5,933.7,942.5,2092.3
fb-pages-politician,3,10,354,1788.0,822.8,822.9,2474.3,5898.0,3.4,2.9,3.7,5800.6,43.7,36.1,27.6,1973.6,941.1,936.5,2056.8
fb-pages-politician,3,10,413,1788.0,822.8,822.9,2474.3,5898.0,3.4,2.9,3.7,5822.1,38.1,39.3,8.5,2011.6,931.3,958.7,2006.4
fb-pages-politician,3,10,472,1788.0,822.8,822.9,2474.3,5898.0,3.4,2.9,3.7,5831.7,31.2,37.2,7.9,2092.3,982.9,937.9,1894.9
fb-pages-politician,3,10,531,1788.0,822.8,822.9,2474.3,5898.0,3.4,2.9,3.7,5867.9,15.4,17.2,7.5,2142.5,939.1,983.7,1842.7
fb-pages-politician,3,10,590,1788.0,822.8,822.9,2474.3,5898.0,3.4,2.9,3.7,5887.4,7.7,9.1,3.8,2186.6,987.3,976.6,1757.5
fb-pages-politician,3,10,649,1788.0,822.8,822.9,2474.3,5898.0,3.4,2.9,3.7,5894.7,6.6,2.9,3.8,2220.1,982.1,989.7,1716.1
