network_name,threshold,seed_size,budget_total,0_no_block,1_no_block,2_no_block,3_no_block,0_cbh,1_cbh,2_cbh,3_cbh,0_degree,1_degree,2_degree,3_degree,0_random,1_random,2_random,3_random
fb-pages-politician,2,20,59,889,0,0,5019,898,5001,0,9,905,234,0,4769,889,95,1,4923
fb-pages-politician,2,20,88,889,0,0,5019,940,4959,0,9,1065,136,0,4707,891,113,26,4878
fb-pages-politician,2,20,118,889,0,0,5019,940,4959,0,9,1140,115,0,4653,893,113,61,4841
fb-pages-politician,2,20,147,889,0,0,5019,1078,4821,0,9,1202,107,0,4599,891,183,103,4731
fb-pages-politician,2,20,177,889,0,0,5019,1078,4821,0,9,1256,104,0,4548,903,217,117,4671
fb-pages-politician,2,20,206,889,0,0,5019,5888,11,5,4,1311,102,0,4495,899,238,165,4606
fb-pages-politician,2,20,236,889,0,0,5019,5888,11,5,4,1362,92,0,4454,906,282,174,4546
fb-pages-politician,2,20,265,889,0,0,5019,5888,11,5,4,1414,96,0,4398,913,302,212,4481
fb-pages-politician,2,20,295,889,0,0,5019,5888,11,5,4,1455,99,0,4354,921,342,236,4409
fb-pages-politician,2,20,324,889,0,0,5019,5888,11,5,4,1511,141,0,4256,914,298,278,4418
fb-pages-politician,2,20,354,889,0,0,5019,5888,11,5,4,1559,142,0,4207,917,369,286,4336
fb-pages-politician,2,20,384,889,0,0,5019,5888,11,5,4,1655,106,0,4147,954,423,326,4205
fb-pages-politician,2,20,413,889,0,0,5019,5888,11,5,4,1702,125,0,4081,953,364,324,4267
fb-pages-politician,2,20,443,889,0,0,5019,5888,11,5,4,1762,134,0,4012,948,416,380,4164
fb-pages-politician,2,20,472,889,0,0,5019,5888,11,5,4,1828,121,0,3959,955,488,388,4077
fb-pages-politician,2,20,502,889,0,0,5019,5888,11,5,4,1897,127,0,3884,964,494,410,4040
fb-pages-politician,2,20,531,889,0,0,5019,5888,11,5,4,1957,116,0,3835,964,491,434,4019
fb-pages-politician,2,20,561,889,0,0,5019,5888,11,5,4,2025,119,0,3764,989,500,465,3954
fb-pages-politician,2,20,590,889,0,0,5019,5888,11,5,4,2074,132,0,3702,1021,602,478,3807
fb-pages-politician,2,20,620,889,0,0,5019,5888,11,5,4,2145,269,0,3494,992,655,509,3752
