network_name,threshold,seed_size,budget_total,0_no_block,1_no_block,2_no_block,3_no_block,0_cbh,1_cbh,2_cbh,3_cbh,0_degree,1_degree,2_degree,3_degree,0_random,1_random,2_random,3_random
fb-pages-politician,2,20,29,889,0,0,5019,903,0,19,4986,986,0,78,4844,889,8,36,4975
fb-pages-politician,2,20,59,889,0,0,5019,922,0,0,4986,1111,0,27,4770,890,34,71,4913
fb-pages-politician,2,20,118,889,0,0,5019,897,0,4998,13,960,0,295,4653,889,3,130,4886
fb-pages-politician,2,20,177,889,0,0,5019,922,0,4973,13,1141,0,221,4546,890,60,165,4793
fb-pages-politician,2,20,236,889,0,0,5019,5888,5,7,8,1259,0,198,4451,899,177,248,4584
fb-pages-politician,2,20,295,889,0,0,5019,5888,5,7,8,1368,0,198,4342,911,174,291,4532
fb-pages-politician,2,20,354,889,0,0,5019,5888,5,7,8,1461,0,250,4197,914,222,373,4399
fb-pages-politician,2,20,413,889,0,0,5019,5888,5,7,8,1575,0,263,4070,934,306,418,4250
fb-pages-politician,2,20,472,889,0,0,5019,5888,5,7,8,1716,0,262,3930,962,330,499,4117
fb-pages-politician,3,20,29,1788,0,0,4120,1799,0,26,4083,1890,0,104,3914,1788,3,19,4098
fb-pages-politician,3,20,59,1788,0,0,4120,1808,0,66,4034,1903,0,207,3798,1788,10,72,4038
fb-pages-politician,3,20,118,1788,0,0,4120,1828,0,4067,13,1999,0,3434,475,1789,26,182,3911
fb-pages-politician,3,20,177,1788,0,0,4120,5888,5,7,8,5334,0,344,230,1806,105,223,3774
fb-pages-politician,3,20,236,1788,0,0,4120,5888,5,7,8,5446,0,236,226,1817,228,222,3641
fb-pages-politician,3,20,295,1788,0,0,4120,5888,5,7,8,5680,0,9,219,1817,266,265,3560
fb-pages-politician,3,20,354,1788,0,0,4120,5888,5,7,8,5688,0,13,207,1880,214,325,3489
fb-pages-politician,3,20,413,1788,0,0,4120,5888,5,7,8,5692,0,18,198,1858,230,357,3463
fb-pages-politician,3,20,472,1788,0,0,4120,5888,5,7,8,5706,0,14,188,1904,327,527,3150
fb-pages-politician,4,20,29,2653,0,0,3255,2653,0,3032,223,2653,0,229,3026,2653,0,30,3225
fb-pages-politician,4,20,59,2653,0,0,3255,2661,0,3079,168,2754,0,2923,231,2653,2,40,3213
fb-pages-politician,4,20,118,2653,0,0,3255,5684,0,211,13,5677,0,6,225,2654,31,88,3135
fb-pages-politician,4,20,177,2653,0,0,3255,5888,5,7,8,5683,0,6,219,2662,85,147,3014
fb-pages-politician,4,20,236,2653,0,0,3255,5888,5,7,8,5689,0,4,215,2693,192,133,2890
fb-pages-politician,4,20,295,2653,0,0,3255,5888,5,7,8,5692,0,8,208,2680,310,217,2701
