network_name,seed_method,threshold,seed_size,budget_total,no_block_0,no_block_1,no_block_2,no_block_3,mcich_0,mcich_1,mcich_2,mcich_3,random_0,random_1,random_2,random_3,degree_0,degree_1,degree_2,degree_3
astroph,random_k_core,2,20,9.0,2959,0,0,15812,2968,4,10,15789,2959,3,9,15800,2974,0,1,15796
astroph,random_k_core,2,20,18.0,2959,0,0,15812,2976,15783,0,12,2959,14,13,15785,2990,0,1,15780
astroph,random_k_core,2,20,93.0,2959,0,0,15812,18751,8,8,4,2960,94,122,15595,3106,0,1,15664
astroph,random_k_core,2,20,187.0,2959,0,0,15812,18751,8,8,4,2961,160,218,15432,3237,0,1,15533
astroph,random_k_core,2,20,281.0,2959,0,0,15812,18751,8,8,4,2966,296,289,15220,3385,0,5,15381
astroph,random_k_core,2,20,375.0,2959,0,0,15812,18751,8,8,4,2968,386,375,15042,3539,0,3,15229
astroph,random_k_core,2,20,469.0,2959,0,0,15812,18751,8,8,4,2971,472,468,14860,3681,0,1,15089
astroph,random_k_core,2,20,563.0,2959,0,0,15812,18751,8,8,4,2983,541,573,14674,3838,0,2,14931
astroph,random_k_core,2,20,656.0,2959,0,0,15812,18751,8,8,4,2997,653,647,14474,3989,0,1,14781
astroph,random_k_core,2,20,750.0,2959,0,0,15812,18751,8,8,4,3024,756,716,14275,4125,3,3,14640
astroph,random_k_core,2,20,844.0,2959,0,0,15812,18751,8,8,4,3043,845,805,14078,4269,14490,0,12
astroph,random_k_core,2,20,938.0,2959,0,0,15812,18751,8,8,4,3060,931,881,13899,4414,14345,0,12
astroph,random_k_core,2,20,1032.0,2959,0,0,15812,18751,8,8,4,3077,1025,958,13711,4548,14211,0,12
astroph,random_k_core,2,20,1126.0,2959,0,0,15812,18751,8,8,4,3099,1095,1038,13539,4737,14022,0,12
astroph,random_k_core,2,20,1220.0,2959,0,0,15812,18751,8,8,4,3123,1172,1112,13364,4904,13855,0,12
astroph,random_k_core,2,20,1313.0,2959,0,0,15812,18751,8,8,4,3145,1244,1184,13198,5059,13700,0,12
astroph,random_k_core,2,20,1407.0,2959,0,0,15812,18751,8,8,4,3172,1320,1270,13009,5285,13474,0,12
astroph,random_k_core,2,20,1501.0,2959,0,0,15812,18751,8,8,4,3208,1375,1354,12834,5445,13314,0,12
astroph,random_k_core,2,20,1595.0,2959,0,0,15812,18751,8,8,4,3228,1446,1433,12664,5651,13108,1,11
astroph,random_k_core,2,20,1689.0,2959,0,0,15812,18751,8,8,4,3268,1499,1495,12509,5836,12923,1,11
astroph,random_k_core,2,20,1783.0,2959,0,0,15812,18751,8,8,4,3291,1582,1568,12330,6022,12737,1,11
astroph,random_k_core,2,20,1877.0,2959,0,0,15812,18751,8,8,4,3312,1646,1649,12164,6215,12544,1,11
