network_name,seed_method,threshold,seed_size,budget_total,no_block_0,no_block_1,no_block_2,no_block_3,mcich_0,mcich_1,mcich_2,mcich_3,random_0,random_1,random_2,random_3,degree_0,degree_1,degree_2,degree_3
enron.giant.clean.uel,centola,2,20,16.0,13449,0,0,20247,13463,0,0,20233,13449,12,16,20219,14741,0,70,18885
enron.giant.clean.uel,centola,2,20,33.0,13449,0,0,20247,13538,15,26,20117,13449,17,30,20200,15376,97,55,18168
enron.giant.clean.uel,centola,2,20,168.0,13449,0,0,20247,33676,6,8,6,13457,130,164,19945,18048,96,44,15508
enron.giant.clean.uel,centola,2,20,336.0,13449,0,0,20247,33676,6,8,6,13452,252,311,19681,19694,125,17,13860
enron.giant.clean.uel,centola,2,20,505.0,13449,0,0,20247,33676,6,8,6,13455,419,449,19373,20761,128,24,12783
enron.giant.clean.uel,centola,2,20,673.0,13449,0,0,20247,33676,6,8,6,13468,543,552,19133,21555,150,37,11954
enron.giant.clean.uel,centola,2,20,842.0,13449,0,0,20247,33676,6,8,6,13484,773,677,18762,22428,172,24,11072
enron.giant.clean.uel,centola,2,20,1010.0,13449,0,0,20247,33676,6,8,6,13502,835,825,18534,23124,191,25,10356
enron.giant.clean.uel,centola,2,20,1179.0,13449,0,0,20247,33676,6,8,6,13522,980,965,18229,23901,188,21,9586
enron.giant.clean.uel,centola,2,20,1347.0,13449,0,0,20247,33676,6,8,6,13549,1135,1071,17941,24800,202,24,8670
enron.giant.clean.uel,centola,2,20,1516.0,13449,0,0,20247,33676,6,8,6,13580,1206,1233,17677,25883,186,39,7588
enron.giant.clean.uel,centola,2,20,1684.0,13449,0,0,20247,33676,6,8,6,13599,1271,1374,17452,26660,181,48,6807
enron.giant.clean.uel,centola,2,20,1853.0,13449,0,0,20247,33676,6,8,6,13641,1385,1444,17226,27802,5580,37,277
enron.giant.clean.uel,centola,2,20,2021.0,13449,0,0,20247,33676,6,8,6,13667,1544,1550,16935,30012,3392,42,250
enron.giant.clean.uel,centola,2,20,2190.0,13449,0,0,20247,33676,6,8,6,13689,1614,1687,16706,33336,123,110,127
