network_name,seed_method,threshold,seed_size,budget_total,interaction_1_2,interaction_2_1,smart_method,no_block_0,no_block_1,no_block_2,no_block_3,mcich_0,mcich_1,mcich_2,mcich_3,degree_0,degree_1,degree_2,degree_3
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,37,1,1,MCICH_SMC,41055,0,0,34822,41073,6,2,34796,41876,3,1,33997
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,75,1,1,MCICH_SMC,41055,0,0,34822,41073,6,2,34796,42334,5,2,33536
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,379,1,1,MCICH_SMC,41055,0,0,34822,41201,39,8,34629,44466,7,4,31400
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,758,1,1,MCICH_SMC,41055,0,0,34822,41201,39,8,34629,46133,7,5,29732
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,1138,1,1,MCICH_SMC,41055,0,0,34822,41201,39,8,34629,47736,8,6,28127
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,1517,1,1,MCICH_SMC,41055,0,0,34822,41810,146,66,33855,49081,10,7,26779
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,1896,1,1,MCICH_SMC,41055,0,0,34822,41810,146,66,33855,50157,9,7,25704
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,2276,1,1,MCICH_SMC,41055,0,0,34822,41810,146,66,33855,51264,10,7,24596
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,2655,1,1,MCICH_SMC,41055,0,0,34822,75857,6,7,7,52232,11,7,23627
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,3035,1,1,MCICH_SMC,41055,0,0,34822,75857,6,7,7,53049,11,7,22810
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,3414,1,1,MCICH_SMC,41055,0,0,34822,75857,6,7,7,53976,11,7,21883
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,3793,1,1,MCICH_SMC,41055,0,0,34822,75857,6,7,7,54965,13,7,20892
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,4173,1,1,MCICH_SMC,41055,0,0,34822,75857,6,7,7,55878,19,7,19973
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,4552,1,1,MCICH_SMC,41055,0,0,34822,75857,6,7,7,56703,18,7,19149
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,4932,1,1,MCICH_SMC,41055,0,0,34822,75857,6,7,7,57524,18,7,18328
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,5311,1,1,MCICH_SMC,41055,0,0,34822,75857,6,7,7,58415,19,7,17436
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,37,1,1,MCICH_SMC,51935,0,0,23942,51935,0,2,23940,52589,1,0,23287
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,75,1,1,MCICH_SMC,51935,0,0,23942,51964,21,0,23892,52935,2,1,22939
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,379,1,1,MCICH_SMC,51935,0,0,23942,52081,53,8,23735,54617,4,2,21254
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,758,1,1,MCICH_SMC,51935,0,0,23942,52081,53,8,23735,55915,5,4,19953
