network_name,threshold,seed_size,budget_total,0_no_block,1_no_block,2_no_block,3_no_block,0_cbh,1_cbh,2_cbh,3_cbh,0_degree,1_degree,2_degree,3_degree,0_random,1_random,2_random,3_random
astroph,2,20,93,2959.0,0.0,0.0,15812.0,2992.4,0.0,3279.3,12499.3,3001.5,0.0,105.7,15663.8,2959.2,26.6,96.0,15689.2
astroph,2,20,187,2959.0,0.0,0.0,15812.0,6225.2,15.7,9445.9,3084.2,3120.7,0.0,120.5,15529.8,2960.4,112.9,192.3,15505.4
astroph,2,20,375,2959.0,0.0,0.0,15812.0,12473.9,3.6,6278.0,15.5,3201.6,0.0,340.1,15229.3,2964.3,164.4,395.0,15247.3
astroph,2,20,563,2959.0,0.0,0.0,15812.0,17185.8,6.2,1571.2,7.8,3486.7,0.0,351.2,14933.1,2981.0,338.9,585.2,14865.9
astroph,2,20,750,2959.0,0.0,0.0,15812.0,17229.9,6.2,1527.1,7.8,3784.3,0.0,343.0,14643.7,2988.7,515.7,746.9,14519.7
astroph,2,20,938,2959.0,0.0,0.0,15812.0,18751.0,6.5,6.0,7.5,4077.0,0.0,335.1,14358.9,3018.8,715.5,947.9,14088.8
astroph,2,20,1126,2959.0,0.0,0.0,15812.0,18751.0,6.5,6.0,7.5,4358.6,0.0,378.2,14034.2,3053.8,857.7,1088.8,13770.7
astroph,2,20,1313,2959.0,0.0,0.0,15812.0,18751.0,6.5,6.0,7.5,4670.9,0.0,394.4,13705.7,3091.4,1022.4,1255.7,13401.5
astroph,2,20,1501,2959.0,0.0,0.0,15812.0,18751.0,6.5,6.0,7.5,5019.0,0.0,424.3,13327.7,3130.0,1192.7,1407.7,13040.6
astroph,2,20,1689,2959.0,0.0,0.0,15812.0,18751.0,6.5,6.0,7.5,5389.1,0.0,429.8,12952.1,3175.4,1327.7,1579.7,12688.2
astroph,2,20,1877,2959.0,0.0,0.0,15812.0,18751.0,6.5,6.0,7.5,5766.3,0.3,479.6,12524.8,3228.4,1475.8,1705.8,12361.0
astroph,2,20,2064,2959.0,0.0,0.0,15812.0,18751.0,6.5,6.0,7.5,6166.6,0.5,496.7,12107.2,3289.6,1608.6,1858.1,12014.7
astroph,2,20,2252,2959.0,0.0,0.0,15812.0,18751.0,6.5,6.0,7.5,6583.9,0.5,471.0,11715.6,3368.2,1736.8,1972.8,11693.2
astroph,3,20,93,4899.0,0.0,0.0,13872.0,10464.5,2.3,5568.4,2735.8,4988.9,0.0,92.5,13689.6,4899.8,39.0,91.2,13741.0
astroph,3,20,187,4899.0,0.0,0.0,13872.0,17366.3,6.2,1390.7,7.8,5120.4,0.0,1469.3,12181.3,4901.8,120.1,178.2,13570.9
astroph,3,20,375,4899.0,0.0,0.0,13872.0,17422.6,6.2,1334.4,7.8,5444.8,0.0,1447.0,11879.2,4914.5,291.7,364.2,13200.6
astroph,3,20,563,4899.0,0.0,0.0,13872.0,18751.0,6.5,6.0,7.5,5781.4,0.0,2697.3,10292.3,4933.5,475.7,532.5,12829.3
astroph,3,20,750,4899.0,0.0,0.0,13872.0,18751.0,6.5,6.0,7.5,7383.8,0.6,1382.1,10004.5,4958.6,633.5,701.0,12477.9
astroph,3,20,938,4899.0,0.0,0.0,13872.0,18751.0,6.5,6.0,7.5,7750.2,0.6,1329.8,9690.4,4984.3,788.1,859.0,12139.6
astroph,3,20,1126,4899.0,0.0,0.0,13872.0,18751.0,6.5,6.0,7.5,8115.7,1165.6,1291.4,8198.3,5037.1,934.7,997.5,11801.7
astroph,3,20,1313,4899.0,0.0,0.0,13872.0,18751.0,6.5,6.0,7.5,8534.4,1118.9,1272.7,7845.0,5068.6,1078.0,1118.5,11505.9
astroph,3,20,1501,4899.0,0.0,0.0,13872.0,18751.0,6.5,6.0,7.5,8933.7,1076.6,1206.6,7554.1,5128.5,1224.7,1275.3,11142.5
astroph,3,20,1689,4899.0,0.0,0.0,13872.0,18751.0,6.5,6.0,7.5,10403.8,1023.3,1184.4,6159.5,5187.5,1328.6,1411.5,10843.4
astroph,3,20,1877,4899.0,0.0,0.0,13872.0,18751.0,6.5,6.0,7.5,13754.4,3.1,155.8,4857.7,5259.8,1467.1,1526.8,10517.3
astroph,3,20,2064,4899.0,0.0,0.0,13872.0,18751.0,6.5,6.0,7.5,14021.1,929.4,85.6,3734.9,5310.4,1583.2,1644.3,10233.1
astroph,3,20,2252,4899.0,0.0,0.0,13872.0,18751.0,6.5,6.0,7.5,14207.9,895.8,962.4,2704.9,5397.3,1707.5,1744.0,9922.2
astroph,4,20,93,6634.9,1212.5,0.1,10923.5,17545.5,6.2,1211.5,7.8,7981.6,1192.3,1244.0,8353.1,6643.2,1263.7,71.5,10792.6
astroph,4,20,187,6634.9,1212.5,0.1,10923.5,18751.0,6.5,6.0,7.5,8165.3,2346.5,1209.8,7049.4,6659.1,1321.7,150.0,10640.2
astroph,4,20,375,6634.9,1212.5,0.1,10923.5,18751.0,6.5,6.0,7.5,8502.1,2272.9,1168.9,6827.1,6683.4,1450.4,287.3,10349.9
astroph,4,20,563,6634.9,1212.5,0.1,10923.5,18751.0,6.5,6.0,7.5,8811.0,4408.8,1133.0,4418.2,6720.6,1580.2,437.5,10032.7
astroph,4,20,750,6634.9,1212.5,0.1,10923.5,18751.0,6.5,6.0,7.5,11272.0,3197.1,1098.2,3203.7,6771.9,1688.4,559.1,9751.6
astroph,4,20,938,6634.9,1212.5,0.1,10923.5,18751.0,6.5,6.0,7.5,13643.3,1020.0,2064.7,2043.0,6815.2,1784.8,705.2,9465.8
astroph,4,20,1126,6634.9,1212.5,0.1,10923.5,18751.0,6.5,6.0,7.5,13887.5,966.2,1980.7,1936.6,6957.5,2910.8,707.4,8195.3
astroph,4,20,1313,6634.9,1212.5,0.1,10923.5,18751.0,6.5,6.0,7.5,15990.2,908.8,47.2,1824.8,6937.3,1994.1,914.5,8925.1
astroph,4,20,1501,6634.9,1212.5,0.1,10923.5,18751.0,6.5,6.0,7.5,18733.9,17.2,6.5,13.4,7009.4,2074.3,1034.0,8653.3
astroph,4,20,1689,6634.9,1212.5,0.1,10923.5,18751.0,6.5,6.0,7.5,18746.9,6.7,6.3,11.1,7077.5,2127.1,1133.2,8433.2
astroph,4,20,1877,6634.9,1212.5,0.1,10923.5,18751.0,6.5,6.0,7.5,18747.9,6.7,5.6,10.8,7282.7,2088.1,2113.8,7286.4
astroph,4,20,2064,6634.9,1212.5,0.1,10923.5,18751.0,6.5,6.0,7.5,18748.4,6.7,5.6,10.3,7226.1,2308.4,1293.8,7942.7
astroph,4,20,2252,6634.9,1212.5,0.1,10923.5,18751.0,6.5,6.0,7.5,18748.7,6.5,5.7,10.1,7313.2,2373.9,1383.0,7700.9
