time,threshold,blocking,state_0,state_1,state_2,state_3
2,2,no_block,-147,92,11,44
3,2,no_block,-710,111,50,549
4,2,no_block,-632,40,-33,625
5,2,no_block,-1297,320,-14,991
6,2,no_block,-1204,-113,-4,1321
7,2,no_block,-689,-221,-8,918
8,2,no_block,-206,-167,2,371
9,2,no_block,-79,-40,-9,128
10,2,no_block,-21,-25,0,46
11,2,no_block,-6,-7,0,13
12,2,no_block,-1,-1,0,2
13,2,no_block,-1,0,0,1
14,2,no_block,-2,0,0,2
15,2,no_block,-2,0,0,2
16,2,no_block,-2,0,0,2
17,2,no_block,0,0,0,0
2,2,mcich,-54,-1,54,1
3,2,mcich,-590,-9,590,9
4,2,mcich,-591,-1,591,1
5,2,mcich,-977,0,977,0
6,2,mcich,-1317,0,1317,0
7,2,mcich,-910,0,910,0
8,2,mcich,-373,0,373,0
9,2,mcich,-87,0,87,0
10,2,mcich,0,0,0,0
2,2,degree,-107,66,19,22
3,2,degree,-504,99,149,256
4,2,degree,-351,-123,-18,492
5,2,degree,-349,-11,70,290
6,2,degree,-952,-3,374,581
7,2,degree,-977,17,22,938
8,2,degree,-811,-14,-38,863
9,2,degree,-442,-34,-166,642
10,2,degree,-150,-8,-129,287
11,2,degree,-51,0,-69,120
12,2,degree,-28,0,-25,53
13,2,degree,-15,0,-22,37
14,2,degree,-10,0,-22,32
15,2,degree,-10,0,-13,23
16,2,degree,-4,0,-5,9
17,2,degree,0,0,-4,4
18,2,degree,0,0,0,0
2,2,random,-145,90,11,44
3,2,random,-709,116,58,535
4,2,random,-626,44,-18,600
5,2,random,-1256,304,12,940
6,2,random,-1186,-133,41,1278
7,2,random,-717,-180,19,878
8,2,random,-230,-134,26,338
9,2,random,-84,-33,-1,118
10,2,random,-26,-18,6,38
11,2,random,-8,-5,2,11
12,2,random,-1,-1,0,2
13,2,random,-1,1,0,0
14,2,random,-2,2,0,0
15,2,random,-2,2,0,0
16,2,random,-2,2,0,0
17,2,random,0,0,0,0
2,3,no_block,-45,43,2,0
3,3,no_block,-318,284,8,26
4,3,no_block,-409,40,90,279
5,3,no_block,-631,215,-64,480
6,3,no_block,-608,172,-33,469
7,3,no_block,-571,-135,7,699
8,3,no_block,-594,68,2,524
9,3,no_block,-372,-216,-16,604
10,3,no_block,-211,-245,-1,457
11,3,no_block,-133,-89,0,222
12,3,no_block,-96,-41,0,137
13,3,no_block,-62,-37,0,99
14,3,no_block,-36,-29,0,65
15,3,no_block,-5,-36,0,41
16,3,no_block,-5,0,0,5
17,3,no_block,-2,-3,0,5
