network_name,seed_method,threshold,seed_size,budget_total,timing_mcich_smc,timing_mcich_ilp,timing_ilp_opt,no_block_0,no_block_1,no_block_2,no_block_3,mcich_smc_0,mcich_smc_1,mcich_smc_2,mcich_smc_3,mcich_ilp_0,mcich_ilp_1,mcich_ilp_2,mcich_ilp_3,ilp_opt_0,ilp_opt_1,ilp_opt_2,ilp_opt_3,random_0,random_1,random_2,random_3,degree_0,degree_1,degree_2,degree_3
jazz.net.clean.uel,centola,2,20,0.0,38 milliseconds,1102 milliseconds,12842 milliseconds,5,0,0,193,5,0,0,193,5,0,0,193,5,0,0,193,5,0,0,193,5,0,0,193
jazz.net.clean.uel,centola,2,20,0.0,1 millisecond,44 milliseconds,19 milliseconds,5,0,0,193,5,0,0,193,5,0,0,193,5,0,0,193,5,0,0,193,5,0,0,193
jazz.net.clean.uel,centola,2,20,0.0,1 millisecond,45 milliseconds,21 milliseconds,5,0,0,193,5,0,0,193,5,0,0,193,5,0,0,193,5,0,0,193,5,0,0,193
jazz.net.clean.uel,centola,2,20,1.0,43 milliseconds,38 milliseconds,27 milliseconds,5,0,0,193,5,0,4,189,5,0,4,189,5,4,0,189,5,0,1,192,5,0,2,191
jazz.net.clean.uel,centola,2,20,2.0,2 milliseconds,284 milliseconds,190 milliseconds,5,0,0,193,9,0,0,189,9,0,0,189,9,0,0,189,5,1,2,190,7,1,1,189
jazz.net.clean.uel,random_k_core,2,20,0.0,38 milliseconds,1166 milliseconds,13844 milliseconds,5,0,0,193,5,0,0,193,5,0,0,193,5,0,0,193,5,0,0,193,5,0,0,193
jazz.net.clean.uel,random_k_core,2,20,0.0,1 millisecond,42 milliseconds,131 milliseconds,5,0,0,193,5,0,0,193,5,0,0,193,5,0,0,193,5,0,0,193,5,0,0,193
jazz.net.clean.uel,centola,2,20,3.0,1 millisecond,42 milliseconds,232 milliseconds,5,0,0,193,9,0,3,186,12,0,0,186,8,4,1,185,5,4,2,187,8,2,1,187
jazz.net.clean.uel,random_k_core,2,20,0.0,1 millisecond,39 milliseconds,20 milliseconds,5,0,0,193,5,0,0,193,5,0,0,193,5,0,0,193,5,0,0,193,5,0,0,193
jazz.net.clean.uel,random_k_core,2,20,1.0,46 milliseconds,36 milliseconds,29 milliseconds,5,0,0,193,5,0,4,189,5,0,4,189,5,0,4,189,5,0,1,192,5,0,2,191
jazz.net.clean.uel,random_k_core,2,20,2.0,2 milliseconds,27 milliseconds,38 milliseconds,5,0,0,193,9,0,1,188,9,0,1,188,9,0,0,189,5,2,2,189,8,0,0,190
jazz.net.clean.uel,centola,2,20,4.0,2 milliseconds,42 milliseconds,211 milliseconds,5,0,0,193,12,0,0,186,12,0,0,186,8,1,8,181,5,6,3,184,9,3,1,185
jazz.net.clean.uel,random_k_core,2,20,3.0,2 milliseconds,268 milliseconds,34 milliseconds,5,0,0,193,9,0,1,188,10,2,0,186,9,3,0,186,5,4,3,186,9,1,0,188
jazz.net.clean.uel,centola,2,20,5.0,3 milliseconds,45 milliseconds,463 milliseconds,5,0,0,193,12,0,0,186,12,0,0,186,12,4,0,182,6,7,3,182,10,5,1,182
jazz.net.clean.uel,random_k_core,2,20,4.0,2 milliseconds,24 milliseconds,215 milliseconds,5,0,0,193,9,0,5,184,10,2,4,182,9,0,7,182,6,6,3,183,10,2,0,186
jazz.net.clean.uel,random_k_core,2,20,5.0,2 milliseconds,30 milliseconds,123 milliseconds,5,0,0,193,10,2,4,182,10,2,4,182,12,0,4,182,5,10,5,178,11,4,0,183
jazz.net.clean.uel,random_k_core,2,20,6.0,2 milliseconds,29 milliseconds,44 milliseconds,5,0,0,193,10,2,4,182,10,2,4,182,16,0,0,182,6,11,5,176,12,5,0,181
jazz.net.clean.uel,centola,2,20,6.0,2 milliseconds,48 milliseconds,237 milliseconds,5,0,0,193,12,0,0,186,12,0,0,186,16,0,0,182,6,9,4,179,11,6,1,180
jazz.net.clean.uel,random_k_core,2,20,7.0,3 milliseconds,36 milliseconds,52 milliseconds,5,0,0,193,10,2,4,182,14,10,0,174,16,2,0,180,6,13,6,173,13,6,0,179
jazz.net.clean.uel,random_k_core,2,20,8.0,2 milliseconds,36 milliseconds,165 milliseconds,5,0,0,193,10,2,8,178,14,10,0,174,16,0,4,178,6,14,8,170,15,6,0,177
jazz.net.clean.uel,random_k_core,2,20,9.0,2 milliseconds,47 milliseconds,49 milliseconds,5,0,0,193,10,2,6,180,14,10,0,174,16,7,0,175,6,19,9,164,15,8,1,174
jazz.net.clean.uel,random_k_core,2,20,10.0,2 milliseconds,42 milliseconds,45 milliseconds,5,0,0,193,10,2,5,181,14,10,0,174,16,7,2,173,6,21,10,161,15,10,2,171
jazz.net.clean.uel,centola,2,20,7.0,2 milliseconds,41 milliseconds,467 milliseconds,5,0,0,193,12,0,5,181,12,9,0,177,10,6,8,174,6,11,5,176,12,7,1,178
jazz.net.clean.uel,random_k_core,2,20,11.0,3 milliseconds,49 milliseconds,49 milliseconds,5,0,0,193,10,2,11,175,14,10,0,174,19,4,1,174,8,21,10,159,16,11,2,169
jazz.net.clean.uel,random_k_core,2,20,12.0,3 milliseconds,47 milliseconds,46 milliseconds,5,0,0,193,10,2,4,182,14,10,0,174,23,0,0,175,8,23,11,156,17,12,2,167
jazz.net.clean.uel,centola,2,20,8.0,3 milliseconds,44 milliseconds,305 milliseconds,5,0,0,193,12,1,1,184,12,9,0,177,12,4,8,174,6,13,6,173,14,7,1,176
jazz.net.clean.uel,random_k_core,2,20,13.0,4 milliseconds,66 milliseconds,198 milliseconds,5,0,0,193,14,10,0,174,14,10,0,174,23,0,2,173,9,24,11,154,18,13,2,165
jazz.net.clean.uel,random_k_core,2,20,14.0,3 milliseconds,163 milliseconds,51 milliseconds,5,0,0,193,12,10,9,167,14,10,0,174,25,0,0,173,10,25,11,152,19,15,2,162
jazz.net.clean.uel,random_k_core,2,20,15.0,3 milliseconds,53 milliseconds,55 milliseconds,5,0,0,193,14,12,1,171,14,10,0,174,25,1,0,172,10,27,12,149,20,16,2,160
jazz.net.clean.uel,centola,2,20,9.0,3 milliseconds,155 milliseconds,319 milliseconds,5,0,0,193,12,4,6,176,12,9,0,177,16,8,0,174,6,15,7,170,14,9,2,173
jazz.net.clean.uel,random_k_core,2,20,16.0,3 milliseconds,52 milliseconds,66 milliseconds,5,0,0,193,14,12,4,168,14,10,0,174,23,7,0,168,10,29,13,146,21,17,2,158
jazz.net.clean.uel,random_k_core,2,20,17.0,3 milliseconds,49 milliseconds,171 milliseconds,5,0,0,193,16,8,5,169,14,10,0,174,24,6,1,167,10,30,14,144,22,18,2,156
jazz.net.clean.uel,centola,2,20,10.0,3 milliseconds,55 milliseconds,432 milliseconds,5,0,0,193,12,0,0,186,12,9,0,177,18,6,0,174,6,18,8,166,15,10,2,171
jazz.net.clean.uel,random_k_core,2,20,18.0,4 milliseconds,125 milliseconds,77 milliseconds,5,0,0,193,14,12,0,172,14,10,0,174,23,2,8,165,11,31,14,142,22,21,3,152
jazz.net.clean.uel,random_k_core,2,20,19.0,4 milliseconds,53 milliseconds,79 milliseconds,5,0,0,193,14,13,7,164,14,10,0,174,28,2,0,168,10,34,16,138,23,22,3,150
jazz.net.clean.uel,random_k_core,2,20,20.0,3 milliseconds,60 milliseconds,62 milliseconds,5,0,0,193,14,12,8,164,14,10,0,174,30,0,0,168,11,35,16,136,24,23,3,148
jazz.net.clean.uel,random_k_core,2,20,21.0,9 milliseconds,54 milliseconds,235 milliseconds,5,0,0,193,14,12,5,167,14,10,0,174,29,2,1,166,11,35,17,135,25,24,3,146
jazz.net.clean.uel,random_k_core,2,20,22.0,4 milliseconds,77 milliseconds,68 milliseconds,5,0,0,193,14,12,6,166,14,10,0,174,28,2,5,163,11,37,18,132,26,25,3,144
jazz.net.clean.uel,random_k_core,2,20,23.0,5 milliseconds,66 milliseconds,94 milliseconds,5,0,0,193,15,15,11,157,14,10,0,174,25,6,8,159,12,38,18,130,27,31,3,137
jazz.net.clean.uel,random_k_core,3,20,0.0,1 millisecond,35 milliseconds,22 milliseconds,10,0,0,188,10,0,0,188,10,0,0,188,10,0,0,188,10,0,0,188,10,0,0,188
jazz.net.clean.uel,random_k_core,3,20,0.0,1 millisecond,37 milliseconds,21 milliseconds,10,0,0,188,10,0,0,188,10,0,0,188,10,0,0,188,10,0,0,188,10,0,0,188
jazz.net.clean.uel,random_k_core,3,20,0.0,1 millisecond,36 milliseconds,200 milliseconds,10,0,0,188,10,0,0,188,10,0,0,188,10,0,0,188,10,0,0,188,10,0,0,188
jazz.net.clean.uel,random_k_core,3,20,1.0,2 milliseconds,33 milliseconds,26 milliseconds,10,0,0,188,10,0,2,186,10,0,2,186,10,3,0,185,10,0,1,187,10,0,1,187
jazz.net.clean.uel,random_k_core,3,20,2.0,2 milliseconds,37 milliseconds,36 milliseconds,10,0,0,188,12,0,1,185,13,0,0,185,10,0,7,181,10,2,2,184,12,0,0,186
jazz.net.clean.uel,random_k_core,3,20,3.0,2 milliseconds,40 milliseconds,176 milliseconds,10,0,0,188,13,0,0,185,13,4,0,181,10,0,11,177,10,5,3,180,13,1,0,184
jazz.net.clean.uel,centola,2,20,11.0,3 milliseconds,322 milliseconds,1441 milliseconds,5,0,0,193,12,0,4,182,12,9,0,177,18,0,8,172,6,20,9,163,16,11,2,169
jazz.net.clean.uel,random_k_core,3,20,4.0,2 milliseconds,45 milliseconds,209 milliseconds,10,0,0,188,13,0,4,181,17,1,0,180,17,0,0,181,10,6,4,178,14,3,0,181
jazz.net.clean.uel,random_k_core,3,20,5.0,3 milliseconds,103 milliseconds,282 milliseconds,10,0,0,188,17,0,0,181,18,0,0,180,17,0,4,177,11,8,5,174,16,3,0,179
jazz.net.clean.uel,random_k_core,3,20,6.0,3 milliseconds,71 milliseconds,55 milliseconds,10,0,0,188,17,0,10,171,18,0,9,171,20,1,1,176,12,9,5,172,17,4,0,177
