network_name,threshold,seed_size,budget_total,0_no_block,1_no_block,2_no_block,3_no_block,0_cbh,1_cbh,2_cbh,3_cbh,0_degree,1_degree,2_degree,3_degree,0_random,1_random,2_random,3_random
fb-pages-politician,2,20,29,889,0,0,5019,936,0,0,4972,1021,0,43,4844,889,24,35,4960
fb-pages-politician,2,20,59,889,0,0,5019,936,0,4767,205,1118,0,20,4770,891,95,47,4875
fb-pages-politician,2,20,118,889,0,0,5019,899,0,4996,13,960,0,295,4653,889,4,122,4893
fb-pages-politician,2,20,177,889,0,0,5019,1052,0,4843,13,1141,0,221,4546,890,62,208,4748
fb-pages-politician,2,20,236,889,0,0,5019,5888,5,7,8,1259,0,198,4451,899,169,259,4581
fb-pages-politician,2,20,295,889,0,0,5019,5888,5,7,8,1368,0,198,4342,894,185,309,4520
fb-pages-politician,2,20,354,889,0,0,5019,5888,5,7,8,1461,0,250,4197,922,237,387,4362
fb-pages-politician,2,20,413,889,0,0,5019,5888,5,7,8,1575,0,263,4070,950,271,447,4240
fb-pages-politician,2,20,472,889,0,0,5019,5888,5,7,8,1716,0,262,3930,955,333,513,4107
fb-pages-politician,2,20,531,889,0,0,5019,5888,5,7,8,1844,0,265,3799,972,335,519,4082
fb-pages-politician,2,20,590,889,0,0,5019,5888,5,7,8,1984,0,320,3604,1014,451,538,3905
fb-pages-politician,2,20,649,889,0,0,5019,5888,5,7,8,2143,0,3579,186,998,546,631,3733
fb-pages-politician,2,20,708,889,0,0,5019,5888,5,7,8,2307,0,3422,179,1026,537,646,3699
fb-pages-politician,3,20,29,1788,0,0,4120,1813,0,92,4003,1950,0,44,3914,1788,12,39,4069
fb-pages-politician,3,20,59,1788,0,0,4120,5671,0,95,142,1989,0,121,3798,1788,28,47,4045
fb-pages-politician,3,20,118,1788,0,0,4120,5671,0,224,13,1999,0,3434,475,1789,37,133,3949
fb-pages-politician,3,20,177,1788,0,0,4120,5888,5,7,8,5334,0,344,230,1792,68,185,3863
fb-pages-politician,3,20,236,1788,0,0,4120,5888,5,7,8,5446,0,236,226,1809,111,323,3665
fb-pages-politician,3,20,295,1788,0,0,4120,5888,5,7,8,5680,0,9,219,1822,331,264,3491
fb-pages-politician,3,20,354,1788,0,0,4120,5888,5,7,8,5688,0,13,207,1964,243,306,3395
fb-pages-politician,3,20,413,1788,0,0,4120,5888,5,7,8,5692,0,18,198,1875,232,501,3300
fb-pages-politician,3,20,472,1788,0,0,4120,5888,5,7,8,5706,0,14,188,1844,300,439,3325
fb-pages-politician,3,20,531,1788,0,0,4120,5888,5,7,8,5715,0,17,176,1929,309,449,3221
fb-pages-politician,3,20,590,1788,0,0,4120,5888,5,7,8,5727,0,14,167,1887,382,503,3136
fb-pages-politician,3,20,649,1788,0,0,4120,5888,5,7,8,5738,0,10,160,1965,496,557,2890
fb-pages-politician,3,20,708,1788,0,0,4120,5888,5,7,8,5745,0,48,115,1942,548,526,2892
fb-pages-politician,4,20,29,2653,0,0,3255,2662,0,3045,201,2767,0,115,3026,2653,3,53,3199
fb-pages-politician,4,20,59,2653,0,0,3255,2716,0,3176,16,2792,0,2885,231,2653,11,41,3203
fb-pages-politician,4,20,118,2653,0,0,3255,5779,1,116,12,5677,0,6,225,2653,43,80,3132
fb-pages-politician,4,20,177,2653,0,0,3255,5888,5,7,8,5683,0,6,219,2683,74,140,3011
fb-pages-politician,4,20,236,2653,0,0,3255,5888,5,7,8,5689,0,4,215,2674,149,261,2824
fb-pages-politician,4,20,295,2653,0,0,3255,5888,5,7,8,5692,0,8,208,2681,136,326,2765
fb-pages-politician,4,20,354,2653,0,0,3255,5888,5,7,8,5699,0,12,197,2721,185,358,2644
fb-pages-politician,4,20,413,2653,0,0,3255,5888,5,7,8,5708,0,13,187,2722,203,351,2632
fb-pages-politician,4,20,472,2653,0,0,3255,5888,5,7,8,5719,0,13,176,2708,322,344,2534
fb-pages-politician,4,20,531,2653,0,0,3255,5888,5,7,8,5732,0,42,134,3096,2614,19,179
fb-pages-politician,4,20,590,2653,0,0,3255,5888,5,7,8,5774,0,61,73,2759,352,425,2372
fb-pages-politician,4,20,649,2653,0,0,3255,5888,5,7,8,5829,0,19,60,2818,423,380,2287
fb-pages-politician,4,20,708,2653,0,0,3255,5888,5,7,8,5848,0,1,59,3182,2249,71,406
fb-pages-politician,2,20,29,889,0,0,5019,927,13,0,4968,1023,0,41,4844,889,19,30,4970
fb-pages-politician,2,20,59,889,0,0,5019,911,0,119,4878,986,0,152,4770,889,19,64,4936
fb-pages-politician,2,20,118,889,0,0,5019,911,0,4982,15,977,0,278,4653,889,9,175,4835
fb-pages-politician,2,20,177,889,0,0,5019,1069,0,4824,15,1150,0,212,4546,891,96,213,4708
fb-pages-politician,2,20,236,889,0,0,5019,5888,4,5,11,1266,0,192,4450,899,113,263,4633
fb-pages-politician,2,20,295,889,0,0,5019,5888,4,5,11,1383,0,183,4342,902,183,284,4539
fb-pages-politician,2,20,354,889,0,0,5019,5888,4,5,11,1466,0,245,4197,908,270,347,4383
fb-pages-politician,2,20,413,889,0,0,5019,5888,4,5,11,1583,0,257,4068,933,286,410,4279
fb-pages-politician,2,20,472,889,0,0,5019,5888,4,5,11,1722,0,255,3931,948,301,465,4194
fb-pages-politician,2,20,531,889,0,0,5019,5888,4,5,11,1852,0,259,3797,972,434,547,3955
fb-pages-politician,2,20,590,889,0,0,5019,5888,4,5,11,1994,0,327,3587,991,414,596,3907
fb-pages-politician,2,20,649,889,0,0,5019,5888,4,5,11,2149,0,3551,208,1023,479,613,3793
fb-pages-politician,2,20,708,889,0,0,5019,5888,4,5,11,5697,0,32,179,1018,514,666,3710
fb-pages-politician,3,20,29,1788,0,0,4120,1806,0,99,4003,1950,0,44,3914,1788,53,24,4043
fb-pages-politician,3,20,59,1788,0,0,4120,1841,0,4031,36,1989,0,121,3798,1788,28,52,4040
fb-pages-politician,3,20,118,1788,0,0,4120,1905,0,3988,15,2009,0,3425,474,1791,21,109,3987
fb-pages-politician,3,20,177,1788,0,0,4120,5888,4,5,11,5336,0,343,229,1796,67,179,3866
fb-pages-politician,3,20,236,1788,0,0,4120,5888,4,5,11,5447,0,237,224,1819,142,279,3668
fb-pages-politician,3,20,295,1788,0,0,4120,5888,4,5,11,5682,0,9,217,1810,203,249,3646
fb-pages-politician,3,20,354,1788,0,0,4120,5888,4,5,11,5689,0,15,204,1860,236,359,3453
fb-pages-politician,3,20,413,1788,0,0,4120,5888,4,5,11,5698,0,18,192,1860,305,386,3357
fb-pages-politician,3,20,472,1788,0,0,4120,5888,4,5,11,5709,0,15,184,1871,358,391,3288
fb-pages-politician,3,20,531,1788,0,0,4120,5888,4,5,11,5719,0,15,174,1883,346,541,3138
fb-pages-politician,3,20,590,1788,0,0,4120,5888,4,5,11,5728,0,15,165,1899,414,505,3090
fb-pages-politician,3,20,649,1788,0,0,4120,5888,4,5,11,5739,0,20,149,1971,458,461,3018
fb-pages-politician,3,20,708,1788,0,0,4120,5888,4,5,11,5746,0,18,144,2054,404,628,2822
fb-pages-politician,4,20,29,2653,0,0,3255,5683,0,18,207,2777,0,105,3026,2653,10,19,3226
fb-pages-politician,4,20,59,2653,0,0,3255,2658,0,3219,31,2744,0,2933,231,2653,5,57,3193
fb-pages-politician,4,20,118,2653,0,0,3255,5701,0,192,15,5255,0,431,222,2653,44,120,3091
fb-pages-politician,4,20,177,2653,0,0,3255,5888,4,5,11,5686,0,5,217,2659,94,126,3029
fb-pages-politician,4,20,236,2653,0,0,3255,5888,4,5,11,5691,0,5,212,2673,253,155,2827
fb-pages-politician,4,20,295,2653,0,0,3255,5888,4,5,11,5696,0,8,204,2676,176,230,2826
fb-pages-politician,4,20,354,2653,0,0,3255,5888,4,5,11,5704,0,14,190,2693,167,303,2745
fb-pages-politician,4,20,413,2653,0,0,3255,5888,4,5,11,5717,0,12,179,2687,275,319,2627
fb-pages-politician,4,20,472,2653,0,0,3255,5888,4,5,11,5727,0,12,169,2720,309,384,2495
fb-pages-politician,4,20,531,2653,0,0,3255,5888,4,5,11,5739,0,56,113,2798,376,356,2378
fb-pages-politician,4,20,590,2653,0,0,3255,5888,4,5,11,5795,0,46,67,2885,298,457,2268
fb-pages-politician,4,20,649,2653,0,0,3255,5888,4,5,11,5841,0,7,60,2936,378,411,2183
fb-pages-politician,4,20,708,2653,0,0,3255,5888,4,5,11,5848,0,1,59,3410,2295,21,182
fb-pages-politician,2,20,29,889,0,0,5019,907,0,89,4912,1025,0,54,4829,889,18,30,4971
fb-pages-politician,2,20,59,889,0,0,5019,948,1,48,4911,1049,0,78,4781,889,27,67,4925
fb-pages-politician,2,20,118,889,0,0,5019,907,0,4656,345,1025,0,215,4668,890,15,123,4880
fb-pages-politician,2,20,177,889,0,0,5019,907,0,4920,81,1005,0,354,4549,890,7,208,4803
fb-pages-politician,2,20,236,889,0,0,5019,889,0,5007,12,889,0,544,4475,889,0,272,4747
fb-pages-politician,2,20,295,889,0,0,5019,1041,0,4855,12,1127,0,424,4357,898,63,304,4643
fb-pages-politician,2,20,354,889,0,0,5019,1041,0,4855,12,1240,0,443,4225,912,120,405,4471
fb-pages-politician,2,20,413,889,0,0,5019,1360,0,4536,12,1359,0,450,4099,911,161,442,4394
fb-pages-politician,2,20,472,889,0,0,5019,5838,7,58,5,1433,0,512,3963,920,235,457,4296
fb-pages-politician,2,20,531,889,0,0,5019,5888,7,8,5,1551,0,546,3811,955,290,506,4157
fb-pages-politician,2,20,590,889,0,0,5019,5888,7,8,5,1683,0,580,3645,975,323,542,4068
fb-pages-politician,2,20,649,889,0,0,5019,5888,7,8,5,1809,0,1205,2894,957,358,684,3909
fb-pages-politician,2,20,708,889,0,0,5019,5888,7,8,5,1945,0,1227,2736,1015,440,658,3795
fb-pages-politician,3,20,29,1788,0,0,4120,1808,0,77,4023,1974,0,65,3869,1788,20,23,4077
fb-pages-politician,3,20,59,1788,0,0,4120,1800,0,182,3926,1881,0,223,3804,1788,4,89,4027
fb-pages-politician,3,20,118,1788,0,0,4120,1808,0,3811,289,1963,0,643,3302,1788,15,125,3980
fb-pages-politician,3,20,177,1788,0,0,4120,1791,0,4105,12,1809,0,1033,3066,1788,8,148,3964
fb-pages-politician,3,20,236,1788,0,0,4120,1957,0,3939,12,2105,0,1304,2499,1801,58,223,3826
fb-pages-politician,3,20,295,1788,0,0,4120,2260,0,3636,12,2610,0,952,2346,1805,124,288,3691
fb-pages-politician,3,20,354,1788,0,0,4120,5852,4,44,8,2843,0,1763,1302,1811,176,335,3586
fb-pages-politician,3,20,413,1788,0,0,4120,5888,7,8,5,3409,0,1256,1243,1845,339,361,3363
fb-pages-politician,3,20,472,1788,0,0,4120,5888,7,8,5,3563,0,1573,772,1853,262,475,3318
fb-pages-politician,3,20,531,1788,0,0,4120,5888,7,8,5,4609,0,934,365,1863,301,474,3270
fb-pages-politician,3,20,590,1788,0,0,4120,5888,7,8,5,4665,0,896,347,1872,283,613,3140
fb-pages-politician,3,20,649,1788,0,0,4120,5888,7,8,5,5136,0,449,323,1906,423,539,3040
fb-pages-politician,3,20,708,1788,0,0,4120,5888,7,8,5,5543,0,103,262,2008,394,517,2989
fb-pages-politician,4,20,29,2653,0,0,3255,2660,0,45,3203,2755,0,226,2927,2653,3,29,3223
fb-pages-politician,4,20,59,2653,0,0,3255,2705,0,104,3099,2964,0,1383,1561,2655,27,41,3185
fb-pages-politician,4,20,118,2653,0,0,3255,2690,0,3206,12,2854,0,1755,1299,2655,15,146,3092
fb-pages-politician,4,20,177,2653,0,0,3255,2807,0,3089,12,3015,0,2143,750,2655,37,213,3003
fb-pages-politician,4,20,236,2653,0,0,3255,5667,1,229,11,4445,0,762,701,2661,66,162,3019
fb-pages-politician,4,20,295,2653,0,0,3255,5888,7,8,5,5138,0,345,425,2671,105,188,2944
fb-pages-politician,4,20,354,2653,0,0,3255,5888,7,8,5,5197,0,349,362,2684,165,328,2731
fb-pages-politician,4,20,413,2653,0,0,3255,5888,7,8,5,5246,0,430,232,2721,221,267,2699
fb-pages-politician,4,20,472,2653,0,0,3255,5888,7,8,5,5545,0,153,210,2882,281,392,2353
fb-pages-politician,4,20,531,2653,0,0,3255,5888,7,8,5,5675,0,32,201,2734,240,491,2443
fb-pages-politician,4,20,590,2653,0,0,3255,5888,7,8,5,5686,0,28,194,2824,282,353,2449
fb-pages-politician,4,20,649,2653,0,0,3255,5888,7,8,5,5705,0,25,178,2899,247,562,2200
